load_id,efficiency,proportional,min_max,equality_min,jain
1,1.0001971359162654,1.0099999899999998,4.016230241763318,1.0000049789021679,3.2102464249607987
2,1.002389083625063,1.0099999899999998,4.016627796373988,9.061958232584136,9.99894347159559
3,1.0001125567679245,1.0099999899999998,4.015266897410762,9.064010438418174,3.9864964423139466
4,1.0003365941821376,1.0099999899999998,4.016864236325294,9.008734069215008,3.314827247143982
5,1.0003199757414625,1.0099999899999998,4.017051573436621,9.009894211277773,9.956416557524218
6,1.0001967209676212,1.0099999899999998,4.023342391453142,9.090624600121698,1.001557411503072
7,1.0002901425805375,1.0099999899999998,4.014118957852353,1.0000366998510197,1.0011853131741022
8,1.0004193383743465,1.0099999899999998,4.016164499145366,1.0000170806565771,1.0022596887236155
9,1.000262829117249,1.0099999899999998,4.016320001346497,9.185552269574043,1.00292260837332
10,1.0007430912964699,1.0099999899999998,4.0163495894415595,9.037539173161276,3.2923868469753406
11,1.0002628298443843,1.0099999899999998,4.016320001253529,9.006540497502774,9.995207577223196
12,1.0005627822586651,1.0099999899999998,4.016753674676604,9.166997341604695,9.999376384816912
13,9.99925986055988,1.0099999899999998,4.016838382950961,9.0955074786847,5.4791683337801835
14,1.0028667154363522,1.0099999899999998,4.016527496954011,9.99999951907784,1.0630619020721082
15,1.0009982362820773,1.0099999899999998,4.014051832427495,9.179310397361371,1.0019736930196377
