metric,switch_config,jains,gini,palma,total_served_kw
efficiency,010110,0.5555555555555556,0.4444444444444444,Inf,1128.0
efficiency,110110,0.5555555555555556,0.4444444444444444,Inf,1128.0
efficiency,010111,0.5555555555555556,0.4444444444444444,Inf,1128.0
gini,010110,0.5555555555555556,0.4444444444444444,Inf,1128.0
gini,110110,0.5555555555555556,0.4444444444444444,Inf,1128.0
gini,010111,0.5555555555555556,0.4444444444444444,Inf,1128.0
jain,010110,0.5555555555555556,0.4444444444444444,Inf,1128.0
jain,110110,0.5555555555555556,0.4444444444444444,Inf,1128.0
jain,010111,0.5555555555555556,0.4444444444444444,Inf,1128.0
