case,fair_func,period,n_feasible_samples,total_load_shed,best_mld_obj,any_ac_feasible
motivation_c,efficiency,1,1,2635.9781840080987,15232.218312155723,true
motivation_c,efficiency,0,1,1970.836653949114,14751.634469866684,true
motivation_c,efficiency,2,1,2263.7621949359313,15488.378207188674,true
motivation_c,min_max,1,1,2635.978184007867,15232.207853319835,true
motivation_c,min_max,0,1,1970.8366570279757,14736.027496319472,true
motivation_c,min_max,2,1,2321.5284023578693,14676.533353374418,true
motivation_c,equality_min,1,1,3919.200000296484,240.00002219416396,true
motivation_c,equality_min,0,1,3265.9999995007056,199.99999853549966,true
motivation_c,equality_min,2,1,3592.6000001667385,219.99999766817447,true
motivation_c,proportional,1,1,2635.9781876408956,15232.218270028092,true
motivation_c,proportional,0,1,1970.836653964158,14751.65297757798,true
motivation_c,proportional,2,1,2263.7621949313616,15488.378200251385,true
motivation_c,jain,1,1,3919.200000296484,240.0000410680138,true
motivation_c,jain,0,1,3265.999999500706,200.00001106866995,true
motivation_c,jain,2,1,3592.6000001667385,220.00001320999576,true
motivation_c,palma,1,1,3919.1999971634295,1200.0000141828518,true
motivation_c,palma,0,1,3265.999998031957,1000.0000098402135,false
motivation_c,palma,2,1,3592.5999974204396,1100.0000128978045,true
