iteration,status,pshed_lower,pshed_upper,max_delta_w,mean_delta_w,w_min,w_max,jac_max,jac_nnz,n_pshed_zero,n_pshed_total,phase
1,LOCALLY_SOLVED,15827.762820989932,15568.010879852565,0.0,0.0,5.499998546490462,5.500000054997188,30.00356294684359,675,0,45,warmstart
2,LOCALLY_SOLVED,15568.01481287046,15308.263130711506,0.0,0.0,5.99999707141631,6.000000114994377,30.003559343539642,675,0,45,warmstart
1,LOCALLY_SOLVED,15308.264456614968,15048.513060428922,0.0,0.0,6.499995621927612,6.500000179991566,30.003559875959407,675,0,45,main
2,LOCALLY_SOLVED,15048.515018285412,14788.763773794906,0.0,0.0,6.999994324729353,7.000000249988756,30.00355905361839,675,0,45,main
3,LOCALLY_SOLVED,14788.773580127805,14529.022464814036,0.0,0.0,7.499994035647469,7.500000324987738,30.00356016286277,675,0,45,main
4,LOCALLY_SOLVED,14529.01692865175,14269.266177472646,0.0,0.0,7.999992772385464,8.00000040498493,30.00355918278666,675,0,45,main
5,LOCALLY_SOLVED,14269.26772917617,14009.51590469282,0.0,0.0,8.499991595854308,8.50000048998212,30.00357209441497,675,0,45,main
6,LOCALLY_SOLVED,14009.526756284484,13749.776539165896,0.0,0.0,8.999990609012432,9.000000579979314,30.00356004936827,675,0,45,main
7,LOCALLY_SOLVED,13749.77475786365,13490.018292890425,0.0,0.0,9.49999017596553,9.500000674976508,30.003705056983996,675,0,45,main
8,LOCALLY_SOLVED,13490.023136973377,13230.269641528497,0.0,0.0,9.999989136789663,10.000000100000008,30.003564797515487,675,0,45,main
9,LOCALLY_SOLVED,13249.620592906609,13281.55829888239,0.0,0.0,9.49998906607141,10.000000099996724,25.76372342750537,675,0,45,main
10,LOCALLY_SOLVED,13430.024208588238,13230.29513287028,0.0,0.0,9.999988785016068,10.00000009999898,30.003570216893475,675,0,45,main
11,LOCALLY_SOLVED,13249.620606234785,13281.556513302523,0.0,0.0,9.499988714275034,10.000000099996724,25.7637319455431,675,0,45,main
12,LOCALLY_SOLVED,13430.021246231137,13230.292177901068,0.0,0.0,9.999988433805958,10.00000009999898,30.003570147278005,675,0,45,main
13,LOCALLY_SOLVED,13249.6208462194,13281.558699074256,0.0,0.0,9.499988363095255,10.000000099996724,25.763968361559495,675,0,45,main
14,LOCALLY_SOLVED,13430.023534765647,13230.294503612078,0.0,0.0,9.9999864776084,10.000000099997187,30.003570213534886,675,0,45,main
15,LOCALLY_SOLVED,13249.62066712638,13281.556721445262,0.0,0.0,9.499986406870907,10.000000099996724,25.7637877171909,675,0,45,main
16,LOCALLY_SOLVED,13430.024398692805,13230.300212696997,0.0,0.0,9.99998443429636,10.000000099997187,30.003406980725565,675,0,45,main
17,LOCALLY_SOLVED,13249.620936762414,13285.316089287211,0.0,0.0,9.49998436450412,10.00000009999674,25.887767742739076,675,0,45,main
18,LOCALLY_SOLVED,13430.024460700297,13230.300265314962,0.0,0.0,9.999983310389961,10.000000099997187,30.003408683840167,675,0,45,main
19,LOCALLY_SOLVED,13249.62099458788,13281.556999397875,0.0,0.0,9.49998323967054,10.000000099996724,25.763956007958118,675,0,45,main
20,LOCALLY_SOLVED,13430.024553733638,13230.300345475382,0.0,0.0,9.999982196190423,10.000000099997187,30.00340908497946,675,0,45,main
