config_bits,total_pshed,obj_efficient,obj_jain,obj_min_max,obj_proportional,obj_infinity_norm,obj_equality_min,obj_palma
000000,3266.0,3266.0,0.38061071093798227,1155.0,11.865749001752796,1155.0,4421.0,5.324675324675325
000001,3266.0,3266.0,0.38061071093798227,1155.0,11.865749001752796,1155.0,4421.0,5.324675324675325
000010,2866.0,2866.0,0.30650953770695755,1155.0,22.449830268777248,1155.0,4021.0,24.11764705882353
000011,2866.0,2866.0,0.30650953770695755,1155.0,22.449830268777248,1155.0,4021.0,24.11764705882353
000100,1813.0,1813.0,0.4480763004661428,485.0,28.91994601184945,485.0,2298.0,Inf
000101,1813.0,1813.0,0.4480763004661428,485.0,28.91994601184945,485.0,2298.0,Inf
000110,1413.0,1413.0,0.3268383716104889,485.0,39.504027278873906,485.0,1898.0,Inf
000111,1413.0,1413.0,0.3268383716104889,485.0,39.504027278873906,485.0,1898.0,Inf
001000,3266.0,3266.0,0.38061071093798227,1155.0,11.865749001752796,1155.0,4421.0,5.324675324675325
001001,3266.0,3266.0,0.38061071093798227,1155.0,11.865749001752796,1155.0,4421.0,5.324675324675325
001010,1413.0,1413.0,0.3268383716104889,485.0,39.504027278873906,485.0,1898.0,Inf
001011,1413.0,1413.0,0.3268383716104889,485.0,39.504027278873906,485.0,1898.0,Inf
001100,1413.0,1413.0,0.3268383716104889,485.0,39.504027278873906,485.0,1898.0,Inf
001101,1413.0,1413.0,0.3268383716104889,485.0,39.504027278873906,485.0,1898.0,Inf
010000,2866.0,2866.0,0.30187968335907817,1155.0,26.53873445793074,1155.0,4021.0,Inf
010010,2466.0,2466.0,0.23404931882657357,1155.0,37.12281572495519,1155.0,3621.0,Inf
010011,1453.0,1453.0,0.10204186782415446,1155.0,58.3581176771271,1155.0,2608.0,Inf
010100,1413.0,1413.0,0.3062346859189829,485.0,43.5929314680274,485.0,1898.0,Inf
010111,770.0,770.0,0.38891184708529297,170.0,43.73191667279035,170.0,940.0,Inf
011000,2866.0,2866.0,0.30187968335907817,1155.0,26.53873445793074,1155.0,4021.0,Inf
011011,770.0,770.0,0.38891184708529297,170.0,43.73191667279035,170.0,940.0,Inf
011100,1183.0,1183.0,0.24439950508492927,485.0,49.0353491785492,485.0,1668.0,Inf
011101,770.0,770.0,0.38891184708529297,170.0,43.73191667279035,170.0,940.0,Inf
100000,3266.0,3266.0,0.38061071093798227,1155.0,11.865749001752796,1155.0,4421.0,5.324675324675325
100001,3266.0,3266.0,0.38061071093798227,1155.0,11.865749001752796,1155.0,4421.0,5.324675324675325
100010,2866.0,2866.0,0.30650953770695755,1155.0,22.449830268777248,1155.0,4021.0,24.11764705882353
100011,2866.0,2866.0,0.30650953770695755,1155.0,22.449830268777248,1155.0,4021.0,24.11764705882353
100100,1098.0,1098.0,0.4428687928412422,230.0,40.153772003157016,230.0,1328.0,Inf
100101,1098.0,1098.0,0.4428687928412422,230.0,40.153772003157016,230.0,1328.0,Inf
100110,770.0,770.0,0.38891184708529297,170.0,43.73191667279035,170.0,940.0,Inf
100111,770.0,770.0,0.38891184708529297,170.0,43.73191667279035,170.0,940.0,Inf
101000,3266.0,3266.0,0.38061071093798227,1155.0,11.865749001752796,1155.0,4421.0,5.324675324675325
101001,3266.0,3266.0,0.38061071093798227,1155.0,11.865749001752796,1155.0,4421.0,5.324675324675325
101010,770.0,770.0,0.38891184708529297,170.0,43.73191667279035,170.0,940.0,Inf
101011,770.0,770.0,0.38891184708529297,170.0,43.73191667279035,170.0,940.0,Inf
101100,770.0,770.0,0.38891184708529297,170.0,43.73191667279035,170.0,940.0,Inf
101101,770.0,770.0,0.38891184708529297,170.0,43.73191667279035,170.0,940.0,Inf
110000,2866.0,2866.0,0.30187968335907817,1155.0,26.53873445793074,1155.0,4021.0,Inf
110001,1098.0,1098.0,0.4428687928412422,230.0,40.153772003157016,230.0,1328.0,Inf
110010,2466.0,2466.0,0.23404931882657357,1155.0,37.12281572495519,1155.0,3621.0,Inf
110011,770.0,770.0,0.38891184708529297,170.0,43.73191667279035,170.0,940.0,Inf
110100,1098.0,1098.0,0.4428687928412422,230.0,40.153772003157016,230.0,1328.0,Inf
110110,770.0,770.0,0.38891184708529297,170.0,43.73191667279035,170.0,940.0,Inf
111000,2866.0,2866.0,0.30187968335907817,1155.0,26.53873445793074,1155.0,4021.0,Inf
111001,770.0,770.0,0.38891184708529297,170.0,43.73191667279035,170.0,940.0,Inf
111010,770.0,770.0,0.38891184708529297,170.0,43.73191667279035,170.0,940.0,Inf
111100,770.0,770.0,0.38891184708529297,170.0,43.73191667279035,170.0,940.0,Inf
